,date
0,2021-07-14
1,2021-07-14
2,2021-07-14
3,2021-07-14
4,2021-07-14
5,2021-07-14
6,2021-07-14
7,2021-07-13
8,2021-07-13
9,2021-07-13
10,2021-07-13
11,2021-07-13
12,2021-07-13
13,2021-07-13
14,2021-07-13
15,2021-07-13
16,2021-07-13
17,2021-07-12
18,2021-07-12
19,2021-07-12
20,2021-07-12
21,2021-07-12
22,2021-07-12
23,2021-07-12
24,2021-07-12
25,2021-07-12
26,2021-07-12
27,2021-07-12
28,2021-07-11
29,2021-07-11
30,2021-07-11
31,2021-07-11
32,2021-07-11
33,2021-07-10
34,2021-07-10
35,2021-07-10
36,2021-07-10
37,2021-07-10
38,2021-07-10
39,2021-07-10
40,2021-07-10
41,2021-07-10
42,2021-07-09
43,2021-07-09
44,2021-07-09
45,2021-07-09
46,2021-07-09
47,2021-07-09
48,2021-07-09
49,2021-07-09
50,2021-07-09
51,2021-07-09
52,2021-07-09
53,2021-07-09
54,2021-07-09
55,2021-07-08
56,2021-07-08
57,2021-07-08
58,2021-07-08
59,2021-07-08
60,2021-07-08
61,2021-07-08
62,2021-07-08
63,2021-07-08
64,2021-07-08
65,2021-07-08
66,2021-07-08
67,2021-07-08
68,2021-07-08
69,2021-07-08
70,2021-07-08
71,2021-07-08
72,2021-07-08
73,2021-07-07
74,2021-07-07
75,2021-07-07
76,2021-07-07
77,2021-07-07
78,2021-07-07
79,2021-07-07
80,2021-07-07
81,2021-07-07
82,2021-07-07
83,2021-07-07
84,2021-07-07
85,2021-07-07
86,2021-07-07
87,2021-07-07
88,2021-07-07
89,2021-07-07
90,2021-07-07
91,2021-07-07
92,2021-07-07
93,2021-07-07
94,2021-07-06
95,2021-07-06
96,2021-07-06
97,2021-07-06
98,2021-07-06
99,2021-07-06
100,2021-07-06
101,2021-07-06
102,2021-07-06
103,2021-07-05
104,2021-07-05
105,2021-07-05
106,2021-07-05
107,2021-07-05
108,2021-07-05
109,2021-07-05
110,2021-07-04
111,2021-07-04
112,2021-07-04
113,2021-07-04
114,2021-07-04
115,2021-07-04
116,2021-07-04
117,2021-07-04
118,2021-07-04
119,2021-07-04
120,2021-07-04
121,2021-07-04
122,2021-07-03
123,2021-07-03
124,2021-07-03
125,2021-07-03
126,2021-07-03
127,2021-07-03
128,2021-07-03
129,2021-07-03
130,2021-07-02
131,2021-07-02
132,2021-07-02
133,2021-07-02
134,2021-07-02
135,2021-07-02
136,2021-07-01
137,2021-07-01
138,2021-07-01
139,2021-07-01
140,2021-07-01
141,2021-07-01
142,2021-07-01
143,2021-07-01
144,2021-07-01
145,2021-07-01
146,2021-07-01
147,2021-07-01
148,2021-07-01
149,2021-06-30
150,2021-06-30
151,2021-06-30
152,2021-06-30
153,2021-06-30
154,2021-06-30
155,2021-06-30
156,2021-06-30
157,2021-06-30
158,2021-06-30
159,2021-06-30
160,2021-06-30
161,2021-06-30
162,2021-06-30
163,2021-06-30
164,2021-06-30
165,2021-06-30
166,2021-06-30
167,2021-06-30
168,2021-06-30
169,2021-06-30
170,2021-06-30
171,2021-06-30
172,2021-06-30
173,2021-06-30
174,2021-06-30
175,2021-06-29
176,2021-06-29
177,2021-06-29
178,2021-06-29
179,2021-06-29
180,2021-06-29
181,2021-06-29
182,2021-06-29
183,2021-06-29
184,2021-06-29
185,2021-06-29
186,2021-06-29
187,2021-06-28
188,2021-06-28
189,2021-06-28
190,2021-06-28
191,2021-06-28
192,2021-06-28
193,2021-06-28
194,2021-06-28
195,2021-06-28
196,2021-06-28
197,2021-06-28
198,2021-06-28
199,2021-06-28
200,2021-06-28
201,2021-06-28
202,2021-06-27
203,2021-06-27
204,2021-06-27
205,2021-06-27
206,2021-06-27
207,2021-06-27
208,2021-06-27
209,2021-06-27
210,2021-06-27
211,2021-06-27
212,2021-06-27
213,2021-06-26
214,2021-06-26
215,2021-06-26
216,2021-06-26
217,2021-06-25
218,2021-06-25
219,2021-06-25
220,2021-06-25
221,2021-06-25
222,2021-06-25
223,2021-06-25
224,2021-06-25
225,2021-06-25
226,2021-06-25
227,2021-06-25
228,2021-06-25
229,2021-06-25
230,2021-06-25
231,2021-06-25
232,2021-06-24
233,2021-06-24
234,2021-06-24
235,2021-06-24
236,2021-06-24
237,2021-06-24
238,2021-06-24
239,2021-06-24
240,2021-06-24
241,2021-06-24
242,2021-06-24
243,2021-06-24
244,2021-06-24
245,2021-06-24
246,2021-06-24
247,2021-06-24
248,2021-06-24
249,2021-06-24
250,2021-06-24
251,2021-06-24
252,2021-06-24
253,2021-06-24
254,2021-06-24
255,2021-06-24
256,2021-06-23
257,2021-06-23
258,2021-06-23
259,2021-06-23
260,2021-06-23
261,2021-06-23
262,2021-06-23
263,2021-06-23
264,2021-06-23
265,2021-06-23
266,2021-06-23
267,2021-06-23
268,2021-06-23
269,2021-06-23
270,2021-06-23
271,2021-06-23
272,2021-06-23
273,2021-06-23
274,2021-06-23
275,2021-06-23
276,2021-06-23
277,2021-06-23
278,2021-06-23
279,2021-06-23
280,2021-06-23
281,2021-06-23
282,2021-06-23
283,2021-06-23
284,2021-06-23
285,2021-06-22
286,2021-06-22
287,2021-06-22
288,2021-06-22
289,2021-06-22
290,2021-06-22
291,2021-06-22
292,2021-06-22
293,2021-06-22
294,2021-06-22
295,2021-06-22
296,2021-06-21
297,2021-06-21
298,2021-06-21
299,2021-06-21
300,2021-06-21
301,2021-06-21
302,2021-06-21
303,2021-06-21
304,2021-06-21
305,2021-06-21
306,2021-06-21
307,2021-06-21
308,2021-06-21
309,2021-06-21
310,2021-06-20
311,2021-06-20
312,2021-06-20
313,2021-06-20
314,2021-06-20
315,2021-06-20
316,2021-06-20
317,2021-06-20
318,2021-06-19
319,2021-06-19
320,2021-06-19
321,2021-06-19
322,2021-06-19
323,2021-06-19
324,2021-06-19
325,2021-06-19
326,2021-06-19
327,2021-06-18
328,2021-06-18
329,2021-06-18
330,2021-06-18
331,2021-06-18
332,2021-06-18
333,2021-06-18
334,2021-06-18
335,2021-06-18
336,2021-06-18
337,2021-06-18
338,2021-06-18
339,2021-06-18
340,2021-06-17
341,2021-06-17
342,2021-06-17
343,2021-06-17
344,2021-06-17
345,2021-06-17
346,2021-06-17
347,2021-06-17
348,2021-06-17
349,2021-06-17
350,2021-06-17
351,2021-06-17
352,2021-06-17
353,2021-06-17
354,2021-06-17
355,2021-06-17
356,2021-06-17
357,2021-06-17
358,2021-06-17
359,2021-06-17
360,2021-06-17
361,2021-06-17
362,2021-06-17
363,2021-06-17
364,2021-06-17
365,2021-06-17
366,2021-06-17
367,2021-06-17
368,2021-06-17
369,2021-06-17
370,2021-06-17
371,2021-06-17
372,2021-06-17
373,2021-06-17
374,2021-06-16
375,2021-06-16
376,2021-06-16
377,2021-06-16
378,2021-06-16
379,2021-06-16
380,2021-06-16
381,2021-06-16
382,2021-06-16
383,2021-06-16
384,2021-06-16
385,2021-06-16
386,2021-06-16
387,2021-06-16
388,2021-06-16
389,2021-06-16
390,2021-06-16
391,2021-06-16
392,2021-06-16
393,2021-06-16
394,2021-06-16
395,2021-06-16
396,2021-06-15
397,2021-06-15
398,2021-06-15
399,2021-06-15
400,2021-06-15
401,2021-06-15
402,2021-06-15
403,2021-06-15
404,2021-06-15
405,2021-06-15
406,2021-06-15
407,2021-06-14
408,2021-06-14
409,2021-06-14
410,2021-06-14
411,2021-06-14
412,2021-06-14
413,2021-06-14
414,2021-06-14
415,2021-06-14
416,2021-06-14
417,2021-06-14
418,2021-06-14
419,2021-06-14
420,2021-06-14
421,2021-06-14
422,2021-06-14
423,2021-06-14
424,2021-06-14
425,2021-06-14
426,2021-06-14
427,2021-06-14
428,2021-06-14
429,2021-06-14
430,2021-06-13
431,2021-06-13
432,2021-06-13
433,2021-06-13
434,2021-06-13
435,2021-06-13
436,2021-06-13
437,2021-06-13
438,2021-06-13
439,2021-06-13
440,2021-06-12
441,2021-06-12
442,2021-06-12
443,2021-06-12
444,2021-06-11
445,2021-06-11
446,2021-06-11
447,2021-06-11
448,2021-06-11
449,2021-06-11
450,2021-06-11
451,2021-06-11
452,2021-06-11
453,2021-06-11
454,2021-06-11
455,2021-06-11
456,2021-06-11
457,2021-06-11
458,2021-06-11
459,2021-06-11
460,2021-06-11
461,2021-06-10
462,2021-06-10
463,2021-06-10
464,2021-06-10
465,2021-06-10
466,2021-06-10
467,2021-06-10
468,2021-06-10
469,2021-06-10
470,2021-06-10
471,2021-06-10
472,2021-06-10
473,2021-06-10
474,2021-06-10
475,2021-06-10
476,2021-06-10
477,2021-06-10
478,2021-06-10
479,2021-06-10
480,2021-06-10
481,2021-06-09
482,2021-06-09
483,2021-06-09
484,2021-06-09
485,2021-06-09
486,2021-06-09
487,2021-06-09
488,2021-06-09
489,2021-06-09
490,2021-06-09
491,2021-06-09
492,2021-06-09
493,2021-06-09
494,2021-06-09
495,2021-06-09
496,2021-06-09
497,2021-06-09
498,2021-06-09
499,2021-06-09
500,2021-06-09
501,2021-06-09
502,2021-06-09
503,2021-06-09
504,2021-06-09
505,2021-06-09
506,2021-06-09
507,2021-06-09
508,2021-06-09
509,2021-06-09
510,2021-06-09
511,2021-06-09
512,2021-06-09
513,2021-06-09
514,2021-06-09
515,2021-06-09
516,2021-06-09
517,2021-06-08
518,2021-06-08
519,2021-06-08
520,2021-06-08
521,2021-06-08
522,2021-06-08
523,2021-06-08
524,2021-06-08
525,2021-06-08
526,2021-06-08
527,2021-06-08
528,2021-06-08
529,2021-06-08
530,2021-06-08
531,2021-06-07
532,2021-06-07
533,2021-06-07
534,2021-06-07
535,2021-06-07
536,2021-06-07
537,2021-06-07
538,2021-06-07
539,2021-06-06
540,2021-06-06
541,2021-06-05
542,2021-06-05
543,2021-06-05
544,2021-06-05
545,2021-06-04
546,2021-06-04
547,2021-06-04
548,2021-06-04
549,2021-06-04
550,2021-06-04
551,2021-06-04
552,2021-06-04
553,2021-06-04
554,2021-06-04
555,2021-06-04
556,2021-06-04
557,2021-06-04
558,2021-06-04
559,2021-06-04
560,2021-06-04
561,2021-06-04
562,2021-06-03
563,2021-06-03
564,2021-06-03
565,2021-06-03
566,2021-06-03
567,2021-06-03
568,2021-06-03
569,2021-06-03
570,2021-06-03
571,2021-06-03
572,2021-06-03
573,2021-06-03
574,2021-06-03
575,2021-06-03
576,2021-06-03
577,2021-06-03
578,2021-06-03
579,2021-06-03
580,2021-06-03
581,2021-06-03
582,2021-06-03
583,2021-06-03
584,2021-06-02
585,2021-06-02
586,2021-06-02
587,2021-06-02
588,2021-06-02
589,2021-06-02
590,2021-06-02
591,2021-06-02
592,2021-06-02
593,2021-06-02
594,2021-06-02
595,2021-06-02
596,2021-06-02
597,2021-06-02
598,2021-06-02
599,2021-06-02
600,2021-06-02
601,2021-06-02
602,2021-06-02
603,2021-06-02
604,2021-06-02
605,2021-06-02
606,2021-06-02
607,2021-06-02
608,2021-06-02
609,2021-06-02
610,2021-06-02
611,2021-06-02
612,2021-06-02
613,2021-06-02
614,2021-06-02
615,2021-06-02
616,2021-06-02
617,2021-06-02
618,2021-06-02
619,2021-06-02
620,2021-06-02
621,2021-06-02
622,2021-06-02
623,2021-06-02
624,2021-06-02
625,2021-06-02
626,2021-06-02
627,2021-06-02
628,2021-06-02
629,2021-06-02
630,2021-06-02
631,2021-06-02
632,2021-06-02
633,2021-06-02
634,2021-06-02
635,2021-06-02
636,2021-06-02
637,2021-06-02
638,2021-06-02
639,2021-06-02
640,2021-06-02
641,2021-06-02
642,2021-06-02
643,2021-06-02
644,2021-06-02
645,2021-06-01
646,2021-06-01
647,2021-06-01
648,2021-06-01
649,2021-06-01
650,2021-06-01
651,2021-06-01
652,2021-06-01
653,2021-06-01
654,2021-06-01
