,date
0,2021-10-08
1,2021-10-08
2,2021-10-08
3,2021-10-08
4,2021-10-08
5,2021-10-08
6,2021-10-08
7,2021-10-08
8,2021-10-08
9,2021-10-08
10,2021-10-08
11,2021-10-08
12,2021-10-08
13,2021-10-08
14,2021-10-08
15,2021-10-08
16,2021-10-08
17,2021-10-08
18,2021-10-08
19,2021-10-08
20,2021-10-08
21,2021-10-08
22,2021-10-08
23,2021-10-08
24,2021-10-08
25,2021-10-08
26,2021-10-08
27,2021-10-08
28,2021-10-08
29,2021-10-08
30,2021-10-08
31,2021-10-08
32,2021-10-07
33,2021-10-07
34,2021-10-07
35,2021-10-07
36,2021-10-07
37,2021-10-07
38,2021-10-07
39,2021-10-07
40,2021-10-07
41,2021-10-07
42,2021-10-07
43,2021-10-07
44,2021-10-07
45,2021-10-07
46,2021-10-07
47,2021-10-07
48,2021-10-07
49,2021-10-07
50,2021-10-07
51,2021-10-07
52,2021-10-07
53,2021-10-07
54,2021-10-07
55,2021-10-07
56,2021-10-07
57,2021-10-07
58,2021-10-07
59,2021-10-07
60,2021-10-07
61,2021-10-07
62,2021-10-07
63,2021-10-07
64,2021-10-07
65,2021-10-07
66,2021-10-06
67,2021-10-06
68,2021-10-06
69,2021-10-06
70,2021-10-06
71,2021-10-06
72,2021-10-06
73,2021-10-06
74,2021-10-06
75,2021-10-06
76,2021-10-06
77,2021-10-06
78,2021-10-06
79,2021-10-06
80,2021-10-06
81,2021-10-06
82,2021-10-06
83,2021-10-06
84,2021-10-06
85,2021-10-06
86,2021-10-06
87,2021-10-06
88,2021-10-06
89,2021-10-06
90,2021-10-05
91,2021-10-05
92,2021-10-05
93,2021-10-05
94,2021-10-05
95,2021-10-05
96,2021-10-05
97,2021-10-05
98,2021-10-05
99,2021-10-05
100,2021-10-05
101,2021-10-05
102,2021-10-04
103,2021-10-04
104,2021-10-04
105,2021-10-04
106,2021-10-04
107,2021-10-04
108,2021-10-04
109,2021-10-04
110,2021-10-04
111,2021-10-04
112,2021-10-04
113,2021-10-04
114,2021-10-04
115,2021-10-04
116,2021-10-04
117,2021-10-04
