,date
0,2021-09-29
1,2021-09-29
2,2021-09-29
3,2021-09-29
4,2021-09-29
5,2021-09-29
6,2021-09-29
7,2021-09-29
8,2021-09-29
9,2021-09-29
10,2021-09-29
11,2021-09-29
12,2021-09-29
13,2021-09-29
14,2021-09-28
15,2021-09-28
16,2021-09-28
17,2021-09-28
18,2021-09-28
19,2021-09-28
20,2021-09-28
21,2021-09-28
22,2021-09-28
23,2021-09-28
24,2021-09-28
25,2021-09-28
26,2021-09-28
27,2021-09-28
28,2021-09-28
29,2021-09-28
30,2021-09-28
31,2021-09-28
32,2021-09-28
33,2021-09-28
34,2021-09-27
35,2021-09-27
36,2021-09-27
37,2021-09-27
38,2021-09-27
39,2021-09-27
40,2021-09-27
41,2021-09-27
42,2021-09-27
43,2021-09-27
44,2021-09-27
45,2021-09-27
46,2021-09-27
47,2021-09-27
48,2021-09-27
49,2021-09-26
50,2021-09-26
51,2021-09-26
52,2021-09-26
53,2021-09-26
54,2021-09-25
55,2021-09-25
56,2021-09-25
57,2021-09-25
58,2021-09-25
59,2021-09-25
60,2021-09-25
61,2021-09-25
62,2021-09-25
63,2021-09-25
64,2021-09-24
65,2021-09-24
66,2021-09-24
67,2021-09-24
68,2021-09-24
69,2021-09-24
70,2021-09-24
71,2021-09-24
72,2021-09-24
73,2021-09-23
74,2021-09-23
75,2021-09-23
76,2021-09-23
77,2021-09-23
78,2021-09-23
79,2021-09-23
80,2021-09-23
81,2021-09-23
82,2021-09-23
83,2021-09-23
84,2021-09-23
85,2021-09-23
86,2021-09-23
87,2021-09-22
88,2021-09-22
89,2021-09-22
90,2021-09-22
91,2021-09-22
92,2021-09-22
93,2021-09-22
94,2021-09-22
95,2021-09-22
96,2021-09-22
97,2021-09-22
98,2021-09-22
99,2021-09-22
100,2021-09-22
101,2021-09-21
102,2021-09-21
103,2021-09-21
104,2021-09-21
105,2021-09-21
106,2021-09-21
107,2021-09-21
108,2021-09-21
109,2021-09-21
110,2021-09-21
111,2021-09-21
112,2021-09-21
113,2021-09-20
114,2021-09-20
115,2021-09-20
116,2021-09-20
117,2021-09-20
118,2021-09-20
119,2021-09-20
120,2021-09-20
121,2021-09-20
122,2021-09-20
123,2021-09-20
124,2021-09-19
125,2021-09-19
126,2021-09-19
127,2021-09-19
128,2021-09-19
129,2021-09-18
130,2021-09-18
131,2021-09-18
132,2021-09-17
133,2021-09-17
134,2021-09-17
135,2021-09-17
136,2021-09-17
137,2021-09-17
138,2021-09-17
139,2021-09-17
140,2021-09-17
141,2021-09-17
142,2021-09-17
143,2021-09-17
144,2021-09-17
145,2021-09-17
146,2021-09-17
147,2021-09-17
148,2021-09-17
149,2021-09-16
150,2021-09-16
151,2021-09-16
152,2021-09-16
153,2021-09-16
154,2021-09-16
155,2021-09-16
156,2021-09-16
157,2021-09-16
158,2021-09-16
159,2021-09-16
160,2021-09-16
161,2021-09-16
162,2021-09-16
163,2021-09-16
164,2021-09-16
165,2021-09-16
166,2021-09-16
167,2021-09-16
168,2021-09-16
169,2021-09-16
170,2021-09-16
171,2021-09-15
172,2021-09-15
173,2021-09-15
174,2021-09-15
175,2021-09-15
176,2021-09-15
177,2021-09-15
