OTLY,OTLY,OTLY,OTLY,OTLY
open,high,low,close,volume
22.12,22.74,19.99,20.24,42800757
22.2,23.25,21.4,22.39,15512845
22.61,22.92,20.58,20.71,7285437
21.29,21.42,20.11,21.18,4932242
21.57,21.87,20.99,21.63,2446139
22.38,23.27,21.8,22.17,4779462
23.04,23.75,22.6,23.7,3117904
25.1,26.6,24.55,25.15,6387881
25.79,26.0339,23.65,23.8,2847697
24.13,24.49,23.475,23.88,1325948
24.01,24.33,23.7,23.81,1718048
24.36,25.37,24.1001,24.97,2319804
25.04,27.1898,25.04,26.96,3106554
27.39,27.44,25.55,26.28,2705177
26.5,26.92,25.59,26.65,1327991
27.0,28.73,26.5,28.73,3387380
28.85,29.0,26.39,27.395,4107651
27.71,27.8765,27.1,27.76,1922734
28.0,29.0,27.2,27.49,2295482
27.8,28.3,25.63,26.7,3658879
26.26,26.73,25.26,25.9,2260065
