,date
0,2021-10-07
1,2021-10-07
2,2021-10-07
3,2021-10-07
4,2021-10-07
5,2021-10-07
6,2021-10-07
7,2021-10-07
8,2021-10-07
9,2021-10-07
10,2021-10-07
11,2021-10-07
12,2021-10-07
13,2021-10-07
14,2021-10-07
15,2021-10-07
16,2021-10-07
17,2021-10-07
18,2021-10-07
19,2021-10-07
20,2021-10-07
21,2021-10-07
22,2021-10-07
23,2021-10-07
24,2021-10-07
25,2021-10-07
26,2021-10-06
27,2021-10-06
28,2021-10-06
29,2021-10-06
30,2021-10-06
31,2021-10-06
32,2021-10-06
33,2021-10-06
34,2021-10-06
35,2021-10-06
36,2021-10-06
37,2021-10-06
38,2021-10-06
39,2021-10-06
40,2021-10-06
41,2021-10-06
42,2021-10-06
43,2021-10-06
44,2021-10-05
45,2021-10-05
46,2021-10-05
47,2021-10-05
48,2021-10-05
49,2021-10-05
50,2021-10-05
51,2021-10-05
52,2021-10-05
53,2021-10-05
54,2021-10-05
55,2021-10-05
56,2021-10-05
57,2021-10-05
58,2021-10-05
59,2021-10-05
60,2021-10-05
61,2021-10-05
62,2021-10-05
63,2021-10-05
64,2021-10-05
65,2021-10-05
66,2021-10-05
67,2021-10-05
68,2021-10-05
69,2021-10-05
70,2021-10-05
71,2021-10-05
72,2021-10-05
73,2021-10-05
74,2021-10-04
75,2021-10-04
76,2021-10-04
77,2021-10-04
78,2021-10-04
79,2021-10-04
80,2021-10-04
81,2021-10-04
82,2021-10-04
83,2021-10-04
84,2021-10-04
85,2021-10-04
86,2021-10-04
87,2021-10-04
88,2021-10-04
89,2021-10-04
90,2021-10-04
91,2021-10-04
92,2021-10-04
93,2021-10-04
94,2021-10-04
95,2021-10-04
96,2021-10-04
97,2021-10-04
98,2021-10-04
99,2021-10-04
100,2021-10-04
101,2021-10-04
102,2021-10-04
103,2021-10-04
104,2021-10-04
105,2021-10-04
106,2021-10-04
107,2021-10-04
108,2021-10-04
109,2021-10-04
110,2021-10-04
111,2021-10-04
112,2021-10-04
113,2021-10-04
114,2021-10-04
115,2021-10-04
116,2021-10-04
117,2021-10-04
118,2021-10-04
119,2021-10-04
120,2021-10-04
121,2021-10-04
122,2021-10-04
123,2021-10-04
124,2021-10-04
125,2021-10-04
126,2021-10-04
127,2021-10-04
128,2021-10-04
129,2021-10-04
130,2021-10-04
131,2021-10-04
132,2021-10-04
133,2021-10-04
134,2021-10-03
135,2021-10-03
136,2021-10-03
137,2021-10-03
138,2021-10-03
139,2021-10-03
140,2021-10-03
141,2021-10-03
142,2021-10-03
143,2021-10-02
144,2021-10-02
145,2021-10-02
146,2021-10-02
147,2021-10-02
148,2021-10-02
149,2021-10-02
150,2021-10-02
151,2021-10-02
152,2021-10-02
153,2021-10-02
154,2021-10-02
155,2021-10-02
156,2021-10-02
157,2021-10-02
158,2021-10-02
159,2021-10-02
160,2021-10-02
161,2021-10-02
162,2021-10-02
163,2021-10-02
164,2021-10-02
165,2021-10-02
166,2021-10-01
167,2021-10-01
168,2021-10-01
169,2021-10-01
170,2021-10-01
171,2021-10-01
172,2021-10-01
173,2021-10-01
174,2021-10-01
175,2021-10-01
176,2021-10-01
177,2021-10-01
178,2021-10-01
179,2021-10-01
180,2021-10-01
181,2021-10-01
182,2021-10-01
183,2021-10-01
184,2021-10-01
185,2021-10-01
186,2021-10-01
187,2021-09-30
188,2021-09-30
189,2021-09-30
190,2021-09-30
191,2021-09-30
192,2021-09-30
193,2021-09-30
194,2021-09-30
195,2021-09-30
196,2021-09-30
197,2021-09-30
198,2021-09-30
199,2021-09-30
200,2021-09-30
201,2021-09-30
202,2021-09-30
203,2021-09-30
204,2021-09-30
205,2021-09-30
206,2021-09-30
207,2021-09-30
208,2021-09-30
209,2021-09-30
210,2021-09-30
211,2021-09-30
212,2021-09-30
213,2021-09-30
214,2021-09-30
215,2021-09-30
216,2021-09-30
217,2021-09-30
218,2021-09-30
219,2021-09-30
220,2021-09-30
221,2021-09-30
222,2021-09-30
223,2021-09-30
224,2021-09-30
225,2021-09-30
226,2021-09-30
227,2021-09-30
228,2021-09-30
229,2021-09-30
230,2021-09-30
231,2021-09-30
232,2021-09-29
233,2021-09-29
234,2021-09-29
235,2021-09-29
236,2021-09-29
237,2021-09-29
238,2021-09-29
239,2021-09-29
240,2021-09-29
241,2021-09-29
242,2021-09-29
243,2021-09-29
244,2021-09-29
245,2021-09-29
246,2021-09-29
247,2021-09-29
248,2021-09-29
249,2021-09-29
250,2021-09-29
251,2021-09-29
252,2021-09-29
253,2021-09-29
254,2021-09-29
255,2021-09-29
256,2021-09-29
257,2021-09-29
258,2021-09-29
259,2021-09-29
260,2021-09-29
261,2021-09-29
262,2021-09-29
263,2021-09-29
264,2021-09-29
265,2021-09-29
266,2021-09-29
267,2021-09-29
268,2021-09-29
269,2021-09-29
270,2021-09-29
271,2021-09-29
272,2021-09-28
273,2021-09-28
274,2021-09-28
275,2021-09-28
276,2021-09-28
277,2021-09-28
278,2021-09-28
279,2021-09-28
280,2021-09-28
281,2021-09-28
282,2021-09-28
283,2021-09-28
284,2021-09-28
285,2021-09-28
286,2021-09-28
287,2021-09-28
288,2021-09-28
289,2021-09-28
290,2021-09-28
291,2021-09-28
292,2021-09-28
293,2021-09-28
294,2021-09-28
295,2021-09-28
296,2021-09-28
297,2021-09-28
298,2021-09-28
299,2021-09-28
300,2021-09-28
301,2021-09-28
302,2021-09-28
303,2021-09-28
304,2021-09-28
305,2021-09-28
306,2021-09-28
307,2021-09-28
308,2021-09-28
309,2021-09-28
310,2021-09-28
311,2021-09-28
312,2021-09-28
313,2021-09-28
314,2021-09-28
315,2021-09-28
316,2021-09-28
317,2021-09-28
318,2021-09-28
319,2021-09-28
320,2021-09-28
321,2021-09-28
322,2021-09-28
323,2021-09-28
324,2021-09-28
325,2021-09-28
326,2021-09-28
327,2021-09-28
328,2021-09-28
329,2021-09-28
330,2021-09-28
331,2021-09-28
332,2021-09-28
333,2021-09-28
334,2021-09-28
335,2021-09-28
336,2021-09-28
337,2021-09-28
338,2021-09-28
339,2021-09-28
340,2021-09-28
341,2021-09-28
342,2021-09-28
343,2021-09-28
344,2021-09-28
345,2021-09-27
346,2021-09-27
347,2021-09-27
348,2021-09-27
349,2021-09-27
350,2021-09-27
351,2021-09-27
352,2021-09-27
353,2021-09-27
354,2021-09-27
355,2021-09-27
356,2021-09-27
357,2021-09-27
358,2021-09-27
359,2021-09-27
360,2021-09-27
361,2021-09-26
362,2021-09-26
363,2021-09-26
364,2021-09-26
365,2021-09-26
366,2021-09-26
367,2021-09-26
368,2021-09-26
369,2021-09-26
370,2021-09-26
371,2021-09-26
372,2021-09-26
373,2021-09-26
374,2021-09-26
375,2021-09-26
376,2021-09-26
377,2021-09-26
378,2021-09-26
379,2021-09-26
380,2021-09-26
381,2021-09-26
382,2021-09-26
383,2021-09-25
384,2021-09-25
385,2021-09-25
386,2021-09-25
387,2021-09-25
388,2021-09-25
389,2021-09-25
390,2021-09-25
391,2021-09-25
392,2021-09-25
393,2021-09-25
394,2021-09-25
395,2021-09-25
396,2021-09-25
397,2021-09-25
398,2021-09-25
399,2021-09-25
400,2021-09-25
401,2021-09-24
402,2021-09-24
403,2021-09-24
404,2021-09-24
405,2021-09-24
406,2021-09-24
407,2021-09-24
408,2021-09-24
409,2021-09-24
410,2021-09-24
411,2021-09-24
412,2021-09-24
413,2021-09-24
414,2021-09-24
415,2021-09-24
416,2021-09-24
417,2021-09-24
418,2021-09-24
419,2021-09-24
420,2021-09-24
421,2021-09-24
422,2021-09-24
423,2021-09-24
424,2021-09-24
425,2021-09-24
426,2021-09-24
427,2021-09-24
428,2021-09-24
429,2021-09-24
430,2021-09-24
431,2021-09-24
432,2021-09-24
433,2021-09-24
434,2021-09-24
435,2021-09-24
436,2021-09-24
437,2021-09-24
438,2021-09-24
439,2021-09-24
440,2021-09-24
441,2021-09-24
442,2021-09-24
443,2021-09-24
444,2021-09-24
445,2021-09-24
446,2021-09-24
447,2021-09-24
448,2021-09-24
449,2021-09-24
450,2021-09-24
451,2021-09-24
452,2021-09-24
453,2021-09-23
454,2021-09-23
455,2021-09-23
456,2021-09-23
457,2021-09-23
458,2021-09-23
459,2021-09-23
460,2021-09-23
461,2021-09-23
